name,perc_no_hc,perc_hc
"Autauga County, Alabama",0.107184337,0.892815663
"Baldwin County, Alabama",0.146911254,0.853088746
"Barbour County, Alabama",0.155045153,0.844954847
"Bibb County, Alabama",0.129140799,0.870859201
"Blount County, Alabama",0.121092315,0.878907685
"Bullock County, Alabama",0.176244834,0.823755166
"Butler County, Alabama",0.128473422,0.871526578
"Calhoun County, Alabama",0.13176052,0.86823948
"Chambers County, Alabama",0.1512,0.8488
"Cherokee County, Alabama",0.127777345,0.872222655
"Chilton County, Alabama",0.157400589,0.842599411
"Choctaw County, Alabama",0.135435301,0.864564699
"Clarke County, Alabama",0.159070064,0.840929936
"Clay County, Alabama",0.132533733,0.867466267
"Cleburne County, Alabama",0.137763699,0.862236301
"Coffee County, Alabama",0.129545081,0.870454919
"Colbert County, Alabama",0.117779875,0.882220125
"Conecuh County, Alabama",0.215269183,0.784730817
"Coosa County, Alabama",0.155665115,0.844334885
"Covington County, Alabama",0.138711317,0.861288683
"Crenshaw County, Alabama",0.126265201,0.873734799
"Cullman County, Alabama",0.154574922,0.845425078
"Dale County, Alabama",0.129866825,0.870133175
"Dallas County, Alabama",0.145750895,0.854249105
"DeKalb County, Alabama",0.173155316,0.826844684
"Elmore County, Alabama",0.106974937,0.893025063
"Escambia County, Alabama",0.204210939,0.795789061
"Etowah County, Alabama",0.144710899,0.855289101
"Fayette County, Alabama",0.120473331,0.879526669
"Franklin County, Alabama",0.177535539,0.822464461
"Geneva County, Alabama",0.154572227,0.845427773
"Greene County, Alabama",0.1512,0.8488
"Hale County, Alabama",0.124701987,0.875298013
"Henry County, Alabama",0.127056619,0.872943381
"Houston County, Alabama",0.137341747,0.862658253
"Jackson County, Alabama",0.160717345,0.839282655
"Jefferson County, Alabama",0.124916874,0.875083126
"Lamar County, Alabama",0.125354509,0.874645491
"Lauderdale County, Alabama",0.120054348,0.879945652
"Lawrence County, Alabama",0.127957566,0.872042434
"Lee County, Alabama",0.113412107,0.886587893
"Limestone County, Alabama",0.129577261,0.870422739
"Lowndes County, Alabama",0.156993428,0.843006572
"Macon County, Alabama",0.138278932,0.861721068
"Madison County, Alabama",0.122311364,0.877688636
"Marengo County, Alabama",0.121071587,0.878928413
"Marion County, Alabama",0.119792892,0.880207108
"Marshall County, Alabama",0.177017267,0.822982733
"Mobile County, Alabama",0.153335023,0.846664977
"Monroe County, Alabama",0.16941092,0.83058908
"Montgomery County, Alabama",0.134475171,0.865524829
"Morgan County, Alabama",0.158400664,0.841599336
"Perry County, Alabama",0.163867227,0.836132773
"Pickens County, Alabama",0.136370704,0.863629296
"Pike County, Alabama",0.11358885,0.88641115
"Randolph County, Alabama",0.149012967,0.850987033
"Russell County, Alabama",0.171779474,0.828220526
"St. Clair County, Alabama",0.111788423,0.888211577
"Shelby County, Alabama",0.096066172,0.903933828
"Sumter County, Alabama",0.176448486,0.823551514
"Talladega County, Alabama",0.136149462,0.863850538
"Tallapoosa County, Alabama",0.132403839,0.867596161
"Tuscaloosa County, Alabama",0.118868097,0.881131903
"Walker County, Alabama",0.144735032,0.855264968
"Washington County, Alabama",0.170773302,0.829226698
"Wilcox County, Alabama",0.185639545,0.814360455
"Winston County, Alabama",0.1441841,0.8558159
"Aleutians East Borough, Alaska",0.608748481,0.391251519
"Aleutians West Census Area, Alaska",0.257542311,0.742457689
"Anchorage Municipality, Alaska",0.163059817,0.836940183
"Bethel Census Area, Alaska",0.259088286,0.740911714
"Bristol Bay Borough, Alaska",0.225708502,0.774291498
"Denali Borough, Alaska",0.224032587,0.775967413
"Dillingham Census Area, Alaska",0.297773279,0.702226721
"Fairbanks North Star Borough, Alaska",0.143438432,0.856561568
"Haines Borough, Alaska",0.273119122,0.726880878
"Hoonah-Angoon Census Area, Alaska",0.285916156,0.714083844
"Juneau City and Borough, Alaska",0.16168534,0.83831466
"Kenai Peninsula Borough, Alaska",0.213448922,0.786551078
"Ketchikan Gateway Borough, Alaska",0.191208461,0.808791539
"Kodiak Island Borough, Alaska",0.267652014,0.732347986
"Lake and Peninsula Borough, Alaska",0.383221477,0.616778523
"Matanuska-Susitna Borough, Alaska",0.192086721,0.807913279
"Nome Census Area, Alaska",0.297987697,0.702012303
"North Slope Borough, Alaska",0.253238613,0.746761387
"Northwest Arctic Borough, Alaska",0.325794221,0.674205779
"Petersburg Borough, Alaska",0.239749609,0.760250391
"Prince of Wales-Hyder Census Area, Alaska",0.349448819,0.650551181
"Sitka City and Borough, Alaska",0.197091159,0.802908841
"Skagway Municipality, Alaska",0.237951807,0.762048193
"Southeast Fairbanks Census Area, Alaska",0.233915575,0.766084425
"Valdez-Cordova Census Area, Alaska",0.232460733,0.767539267
"Wade Hampton Census Area, Alaska",0.291887696,0.708112304
"Wrangell City and Borough, Alaska",0.212865002,0.787134998
"Yakutat City and Borough, Alaska",0.240944882,0.759055118
"Yukon-Koyukuk Census Area, Alaska",0.374600355,0.625399645
"Apache County, Arizona",0.247426151,0.752573849
"Cochise County, Arizona",0.124750382,0.875249618
"Coconino County, Arizona",0.198156,0.801844
"Gila County, Arizona",0.169365452,0.830634548
"Graham County, Arizona",0.160809595,0.839190405
"Greenlee County, Arizona",0.144879552,0.855120448
"La Paz County, Arizona",0.141621514,0.858378486
"Maricopa County, Arizona",0.164917571,0.835082429
"Mohave County, Arizona",0.170393998,0.829606002
"Navajo County, Arizona",0.181686129,0.818313871
"Pima County, Arizona",0.144847245,0.855152755
"Pinal County, Arizona",0.145307533,0.854692467
"Santa Cruz County, Arizona",0.201684246,0.798315754
"Yavapai County, Arizona",0.147330988,0.852669012
"Yuma County, Arizona",0.202118247,0.797881753
"Arkansas County, Arkansas",0.131297382,0.868702618
"Ashley County, Arkansas",0.145116498,0.854883502
"Baxter County, Arkansas",0.127441334,0.872558666
"Benton County, Arkansas",0.140809038,0.859190962
"Boone County, Arkansas",0.150778528,0.849221472
"Bradley County, Arkansas",0.200232621,0.799767379
"Calhoun County, Arkansas",0.146692234,0.853307766
"Carroll County, Arkansas",0.182425282,0.817574718
"Chicot County, Arkansas",0.170204876,0.829795124
"Clark County, Arkansas",0.141257306,0.858742694
"Clay County, Arkansas",0.178823377,0.821176623
"Cleburne County, Arkansas",0.180452901,0.819547099
"Cleveland County, Arkansas",0.140023474,0.859976526
"Columbia County, Arkansas",0.139189865,0.860810135
"Conway County, Arkansas",0.143742846,0.856257154
"Craighead County, Arkansas",0.167920712,0.832079288
"Crawford County, Arkansas",0.169346947,0.830653053
"Crittenden County, Arkansas",0.157826806,0.842173194
